,Team Name,Season,W,L,D,GF,GF_H,GF_A,GA,GA_H,GA_A,GD,Points,Place
143,Southampton FC,2017/2018,7,16,15,37,20,17,56,26,30,-19,36,17
43,Stoke City FC,2017/2018,7,19,12,35,20,15,68,30,38,-33,33,19
133,Swansea City AFC,2017/2018,8,21,9,28,17,11,56,24,32,-28,33,18
33,West Bromwich Albion FC,2017/2018,6,19,13,31,21,10,56,29,27,-25,31,20
194,Manchester City FC,2018/2019,32,4,2,95,57,38,23,12,11,72,98,1
74,Liverpool FC,2018/2019,30,1,7,89,55,34,22,10,12,67,97,2
114,Chelsea FC,2018/2019,21,8,9,63,39,24,39,12,27,24,72,3
164,Tottenham Hotspur FC,2018/2019,23,13,2,67,34,33,39,16,23,28,71,4
64,Arsenal FC,2018/2019,21,10,7,73,42,31,51,16,35,22,70,5
4,Manchester United FC,2018/2019,19,10,9,65,33,32,54,25,29,11,66,6
274,Wolverhampton Wanderers FC,2018/2019,16,13,9,47,28,19,46,21,25,1,57,7
154,Everton FC,2018/2019,15,14,9,54,30,24,46,21,25,8,54,8
14,Leicester City FC,2018/2019,15,16,7,51,24,27,48,20,28,3,52,9
24,West Ham United FC,2018/2019,15,16,7,52,32,20,55,27,28,-3,52,10
224,Watford FC,2018/2019,14,16,8,52,26,26,59,28,31,-7,50,11
124,Crystal Palace FC,2018/2019,14,17,7,51,19,32,53,23,30,-2,49,12
204,AFC Bournemouth,2018/2019,13,19,6,56,30,26,70,25,45,-14,45,14
84,Newcastle United FC,2018/2019,12,17,9,42,24,18,48,25,23,-6,45,13
94,Burnley FC,2018/2019,11,20,7,45,24,21,68,32,36,-23,40,15
144,Southampton FC,2018/2019,9,17,12,45,27,18,65,30,35,-20,39,16
244,Brighton & Hove Albion FC,2018/2019,9,20,9,35,19,16,60,28,32,-25,36,17
284,Cardiff City FC,2018/2019,10,24,4,34,21,13,69,38,31,-35,34,18
264,Fulham FC,2018/2019,7,26,5,34,22,12,81,36,45,-47,26,19
254,Huddersfield Town AFC,2018/2019,3,28,7,22,10,12,76,31,45,-54,16,20
75,Liverpool FC,2019/2020,32,3,3,85,52,33,33,16,17,52,99,1
195,Manchester City FC,2019/2020,26,9,3,102,57,45,35,13,22,67,81,2
115,Chelsea FC,2019/2020,20,12,6,69,30,39,54,16,38,15,66,4
5,Manchester United FC,2019/2020,18,8,12,66,40,26,36,17,19,30,66,3
15,Leicester City FC,2019/2020,18,12,8,67,35,32,41,17,24,26,62,5
165,Tottenham Hotspur FC,2019/2020,16,11,11,61,36,25,47,17,30,14,59,6
275,Wolverhampton Wanderers FC,2019/2020,15,9,14,51,27,24,40,19,21,11,59,7
65,Arsenal FC,2019/2020,14,10,14,56,36,20,48,24,24,8,56,8
95,Burnley FC,2019/2020,15,14,9,43,24,19,50,23,27,-7,54,10
295,Sheffield United FC,2019/2020,14,12,12,39,24,15,39,15,24,0,54,9
145,Southampton FC,2019/2020,15,16,7,51,21,30,60,35,25,-9,52,11
155,Everton FC,2019/2020,13,15,10,44,24,20,56,21,35,-12,49,12
85,Newcastle United FC,2019/2020,11,16,11,38,20,18,58,21,37,-20,44,13
125,Crystal Palace FC,2019/2020,11,17,10,31,15,16,50,20,30,-19,43,14
245,Brighton & Hove Albion FC,2019/2020,9,15,14,39,20,19,54,27,27,-15,41,15
25,West Ham United FC,2019/2020,10,19,9,49,30,19,62,33,29,-13,39,16
105,Aston Villa FC,2019/2020,9,21,8,41,22,19,67,30,37,-26,35,17
225,Watford FC,2019/2020,8,20,10,36,22,14,64,27,37,-28,34,19
205,AFC Bournemouth,2019/2020,9,22,7,40,22,18,65,30,35,-25,34,18
215,Norwich City FC,2019/2020,5,27,6,26,19,7,75,37,38,-49,21,20
196,Manchester City FC,2020/2021,27,6,5,83,43,40,32,17,15,51,86,1
6,Manchester United FC,2020/2021,21,6,11,73,38,35,44,28,16,29,74,2
76,Liverpool FC,2020/2021,20,9,9,68,29,39,42,20,22,26,69,3
116,Chelsea FC,2020/2021,19,9,10,58,31,27,36,18,18,22,67,4
16,Leicester City FC,2020/2021,20,12,6,68,34,34,50,30,20,18,66,5
26,West Ham United FC,2020/2021,19,11,8,62,32,30,47,22,25,15,65,6
166,Tottenham Hotspur FC,2020/2021,18,12,8,68,35,33,45,20,25,23,62,7
66,Arsenal FC,2020/2021,18,13,7,55,24,31,39,21,18,16,61,8
306,Leeds United,2020/2021,18,15,5,62,28,34,54,21,33,8,59,9
156,Everton FC,2020/2021,17,13,8,47,24,23,48,28,20,-1,59,10
106,Aston Villa FC,2020/2021,16,15,7,55,29,26,46,27,19,9,55,11
276,Wolverhampton Wanderers FC,2020/2021,12,17,9,36,21,15,52,25,27,-16,45,12
86,Newcastle United FC,2020/2021,12,17,9,46,26,20,62,33,29,-16,45,13
126,Crystal Palace FC,2020/2021,12,18,8,41,20,21,66,32,34,-25,44,14
146,Southampton FC,2020/2021,12,19,7,47,28,19,68,25,43,-21,43,15
246,Brighton & Hove Albion FC,2020/2021,9,15,14,40,22,18,46,22,24,-6,41,16
96,Burnley FC,2020/2021,10,19,9,33,14,19,55,27,28,-22,39,17
266,Fulham FC,2020/2021,5,20,13,27,9,18,53,28,25,-26,28,18
36,West Bromwich Albion FC,2020/2021,5,22,11,35,15,20,76,39,37,-41,26,19
296,Sheffield United FC,2020/2021,7,29,2,20,12,8,63,27,36,-43,23,20
197,Manchester City FC,2021/2022,29,3,6,99,58,41,26,15,11,73,93,1
77,Liverpool FC,2021/2022,28,2,8,94,49,45,26,9,17,68,92,2
117,Chelsea FC,2021/2022,21,6,11,76,37,39,33,22,11,43,74,3
167,Tottenham Hotspur FC,2021/2022,22,11,5,69,38,31,40,19,21,29,71,4
67,Arsenal FC,2021/2022,22,13,3,61,35,26,48,17,31,13,69,5
7,Manchester United FC,2021/2022,16,12,10,57,32,25,57,22,35,0,58,6
27,West Ham United FC,2021/2022,16,14,8,60,33,27,51,26,25,9,56,7
17,Leicester City FC,2021/2022,14,14,10,62,34,28,59,23,36,3,52,8
247,Brighton & Hove Albion FC,2021/2022,12,11,15,42,19,23,44,23,21,-2,51,9
277,Wolverhampton Wanderers FC,2021/2022,15,17,6,38,20,18,43,25,18,-5,51,10
87,Newcastle United FC,2021/2022,13,15,10,44,26,18,62,27,35,-18,49,11
127,Crystal Palace FC,2021/2022,11,12,15,50,27,23,46,17,29,4,48,12
317,Brentford FC,2021/2022,13,18,7,48,22,26,56,21,35,-8,46,13
107,Aston Villa FC,2021/2022,13,19,6,52,29,23,54,29,25,-2,45,14
147,Southampton FC,2021/2022,9,16,13,43,23,20,67,24,43,-24,40,15
157,Everton FC,2021/2022,11,21,6,43,27,16,66,25,41,-23,39,16
307,Leeds United,2021/2022,9,18,11,42,19,23,79,38,41,-37,38,17
97,Burnley FC,2021/2022,7,17,14,34,18,16,53,25,28,-19,35,18
227,Watford FC,2021/2022,6,27,5,34,17,17,77,46,31,-43,23,19
217,Norwich City FC,2021/2022,5,26,7,23,12,11,84,43,41,-61,22,20
198,Manchester City FC,2022/2023,28,5,5,94,60,34,33,17,16,61,89,1
68,Arsenal FC,2022/2023,26,6,6,88,53,35,43,25,18,45,84,2
8,Manchester United FC,2022/2023,23,9,6,58,36,22,43,10,33,15,75,3
88,Newcastle United FC,2022/2023,19,5,14,68,36,32,33,14,19,35,71,4
78,Liverpool FC,2022/2023,19,9,10,75,46,29,47,17,30,28,67,5
248,Brighton & Hove Albion FC,2022/2023,18,12,8,72,37,35,53,21,32,19,62,6
108,Aston Villa FC,2022/2023,18,13,7,51,33,18,46,21,25,5,61,7
168,Tottenham Hotspur FC,2022/2023,18,14,6,70,37,33,63,25,38,7,60,8
318,Brentford FC,2022/2023,15,9,14,58,35,23,46,18,28,12,59,9
268,Fulham FC,2022/2023,15,16,7,55,31,24,53,29,24,2,52,10
128,Crystal Palace FC,2022/2023,11,15,12,40,21,19,49,23,26,-9,45,11
118,Chelsea FC,2022/2023,11,16,11,38,20,18,47,19,28,-9,44,12
278,Wolverhampton Wanderers FC,2022/2023,11,19,8,31,19,12,58,20,38,-27,41,13
28,West Ham United FC,2022/2023,11,20,7,42,26,16,55,24,31,-13,40,14
208,AFC Bournemouth,2022/2023,11,21,6,37,20,17,71,28,43,-34,39,15
328,Nottingham Forest FC,2022/2023,9,18,11,38,27,11,68,24,44,-30,38,16
158,Everton FC,2022/2023,8,18,12,34,16,18,57,27,30,-23,36,17
18,Leicester City FC,2022/2023,9,22,7,51,23,28,68,27,41,-17,34,18
308,Leeds United,2022/2023,7,21,10,48,26,22,78,37,41,-30,31,19
148,Southampton FC,2022/2023,6,25,7,36,19,17,73,37,36,-37,25,20
199,Manchester City FC,2023/2024,28,3,7,96,51,45,34,16,18,62,91,1
69,Arsenal FC,2023/2024,28,5,5,91,48,43,29,16,13,62,89,2
79,Liverpool FC,2023/2024,24,4,10,86,49,37,41,17,24,45,82,3
109,Aston Villa FC,2023/2024,20,10,8,76,48,28,61,28,33,15,68,4
169,Tottenham Hotspur FC,2023/2024,20,12,6,74,38,36,61,27,34,13,66,5
119,Chelsea FC,2023/2024,18,11,9,77,44,33,63,26,37,14,63,6
89,Newcastle United FC,2023/2024,18,14,6,85,49,36,62,22,40,23,60,7
9,Manchester United FC,2023/2024,18,14,6,57,31,26,58,28,30,-1,60,8
29,West Ham United FC,2023/2024,14,14,10,60,31,29,74,28,46,-14,52,9
129,Crystal Palace FC,2023/2024,13,15,10,57,37,20,58,26,32,-1,49,10
209,AFC Bournemouth,2023/2024,13,16,9,54,27,27,67,28,39,-13,48,12
159,Everton FC,2023/2024,13,16,9,40,22,18,51,18,33,-11,48,13
249,Brighton & Hove Albion FC,2023/2024,12,14,12,55,30,25,62,27,35,-7,48,11
269,Fulham FC,2023/2024,13,17,8,55,31,24,61,24,37,-6,47,14
279,Wolverhampton Wanderers FC,2023/2024,13,18,7,50,26,24,65,30,35,-15,46,15
319,Brentford FC,2023/2024,10,19,9,56,29,27,65,34,31,-9,39,16
329,Nottingham Forest FC,2023/2024,9,20,9,49,27,22,67,30,37,-18,36,17
339,Luton Town FC,2023/2024,6,24,8,52,28,24,85,37,48,-33,26,18
99,Burnley FC,2023/2024,5,24,9,41,19,22,78,43,35,-37,24,19
299,Sheffield United FC,2023/2024,3,28,7,35,19,16,104,57,47,-69,16,20
